Complexity,Loss,Equation
1,0.5864,"x4"
3,0.2426,"x4 - x5"
7,0.2423,"x0 + (x4 - (x5 + x0))"
8,0.1537,"(x4 - x5) / (exp(x5) - x5)"
9,0.0603,"(x5 - x4) * -0.6943"
13,0.0591,"((x5 + (x4 + x4)) * 0.355) - x5"
15,0.0585,"((x5 * 0.9194) - x4) * -0.7236"
16,0.04898,"((x4 + (x4 - x5)) - x5) / exp(0.894 ^ x1)"
17,0.0445,"(((x4 - x5) * 5.59) - x0) * 0.12427"
18,0.04196,"((-0.0966 / exp(x1)) - -0.8335) * (x4 - x5)"
19,0.03105,"(((x4 - x5) * (7.01 + x1)) - x0) / 10.125"
21,0.02658,"((x2 - x0) + ((x4 - x5) * (x1 + 7.695))) / 11.13"
22,0.02596,"(((x4 - x5) * (x1 + 9.66)) - (x0 * exp(x4))) / 13.96"
23,0.02419,"(((x1 + 8.234) * (x4 - x5)) + ((x2 + x5) - x0)) / 11.17"
24,0.0219,"(((x4 - x5) * (x1 + 12.2)) - ((x0 - x2) * exp(x4))) / 17.56"
25,0.02003,"(((x4 - x5) * (x1 + 8.21)) + ((x2 - x0) - (x4 * x0))) / 11.89"
27,0.01938,"(((x2 - x0) - (x0 * x5)) + ((x1 + 7.35) * (x4 - x5))) / (x0 + 10.67)"
