Complexity,Loss,MSE,NMSE,Absolute Error
1,0.1705849253632765,0.1671755953401726,0.07456284956640909,0.3052389780288287
3,0.1517453412280882,0.2062834309695123,0.09200553705296946,0.3519657660099336
6,0.0014069762172959,0.0013356750405518858,0.0005957313142245801,0.02968112236435607
8,0.0014069762172959,0.0013356750457778784,0.000595731316555452,0.02968112234762743
10,0.0014069762172959,0.0013356750425698545,0.0005957313151246248,0.029681122357896394
11,0.0005965282659973,0.000670161227976266,0.00029890206596935404,0.021348423220431335
12,7.138174698981138e-05,7.054452447491732e-05,3.146392722845675e-05,0.00670103252009725
15,2.7860615556668986e-05,,,
17,2.543626338120661e-05,,,
19,1.9753464358491047e-05,,,
20,1.9365198501009824e-05,,,
22,1.936317902883582e-05,,,
24,1.865505522875193e-05,,,
26,1.8627599088889133e-05,,,
30,1.8627599088889066e-05,,,
