Dataset,Noise Level,Matched Equation,Complexity,Loss,Accuracy (%)
Imstepf_F1_LHS,0_Percent_Noise,x4 * x3,3,20.721407516913995,0.0
Imstepf_F1_LHS,0_Percent_Noise,x0 + (x1 * x2),5,4.453911059885446,20.0
Imstepf_F1_LHS,0_Percent_Noise,(((x1 + x3) + x4) + x0) + x2,9,7.795221607519851e-10,100.0
Imstepf_F1_RandSample,0_Percent_Noise,x4,1,255.64626693910228,20.0
Imstepf_F1_RandSample,0_Percent_Noise,x4 * x0,3,10.311232963603382,0.0
Imstepf_F1_RandSample,0_Percent_Noise,20.316948636479143,4,1.32988181121422,0.0
Imstepf_F1_RandSample,0_Percent_Noise,x4 + 15.975329886479466,6,0.4351019572602701,20.0
Imstepf_F1_RandSample,0_Percent_Noise,(x4 + x4) + 11.63371113758934,8,0.0465302863531958,0.0
Imstepf_F1_RandSample,0_Percent_Noise,10.471840186361018 + (2.2676123859364434 * x4),11,0.0284038853203199,0.0
Imstepf_F1_RandSample,0_Percent_Noise,(cos(x4) * 2.750898228140807) + 21.170819935970282,12,0.0109044679191703,0.0
Imstepf_F1_RandSample,0_Percent_Noise,sin(-2.123332202914084 * x4) + (x4 + 16.01558079954223),14,0.0046698186699284,20.0
Imstepf_F1_RandSample,0_Percent_Noise,sin(-2.173219150183418 * x4) + (20.549586253293572 + cos(x4)),15,0.0003691546147541,0.0
Imstepf_F1_RandSample,0_Percent_Noise,(cos(x4 * -2.52111790613236) / 1.1353727241780787) + (x4 + 15.900049278789538),19,9.6602906425746e-05,20.0
Imstepf_F1_RandSample,0_Percent_Noise,(sin(x4 * -2.3316807754212783) + 20.318881179409388) + sin(cos(x4) * 2.5079651613647345),21,5.496550924577675e-05,0.0
Imstepf_F1_RandSample,0_Percent_Noise,(cos(-2.474292527170322 * x4) + (15.111572974693159 + x4)) + cos(x4 + 14.669007495363132),22,3.8825878734640806e-05,20.0
Imstepf_F1_RandSample,0_Percent_Noise,(cos(x4 * -2.490513028215296) + (15.872712428565302 + x4)) - (cos(-2.2962202104536598 * x4) / (x4 - sin(x4))),27,3.260278124179988e-05,20.0
Imstepf_F1_RandSample,0_Percent_Noise,(cos(x4 * -2.492436790186677) + (15.875673488743907 + x4)) - (cos(x4 * -2.3071860815409324) / (x4 + (x4 / x0))),28,2.7200507704359345e-05,20.0
Imstepf_F1_Uniform,0_Percent_Noise,x4 + x4,3,146.7120113869682,0.0
Imstepf_F1_Uniform,0_Percent_Noise,x1 + (x3 * x0),5,4.7300086029808535,20.0
Imstepf_F1_Uniform,0_Percent_Noise,(x1 - cos(x4)) + (x3 * x0),8,3.7508839598532697,20.0
Imstepf_F1_Uniform,0_Percent_Noise,x4 + (x4 + (x1 + (x1 + x0))),9,1.466544071069376e-06,20.0
Imstepf_F1_Uniform,0_Percent_Noise,(x4 + (x0 + (x2 + x4))) + ((x4 * x0) / x4),13,1.4665440710687405e-06,20.0
Imstepf_F1_Uniform,0_Percent_Noise,x2 + (x1 + ((0.999999488322533 * x3) + (x0 + x4))),14,1.466539703736201e-06,80.0
Imstepf_F1_Uniform,0_Percent_Noise,(x4 * 0.9999681716446464) + ((x1 - (0.005608283287823249 - -0.09526214335965631)) + (x2 + (x4 + x4))),24,1.4662763374600175e-06,40.0
Imstepf_F1_Uniform,0_Percent_Noise,(x4 + ((x0 + -1.292697905748648) + (-0.0836389266628732 / x4))) + ((x4 / x0) + ((x4 + x4) + (x3 + 0.19198462916034176))),30,1.4661214121641086e-06,40.0
Imstepf_F2_LHS,0_Percent_Noise,x4,1,804183.0557968292,0.0
Imstepf_F2_LHS,0_Percent_Noise,x1 ^ x3,3,417233.854215589,0.0
Imstepf_F2_LHS,0_Percent_Noise,(x0 ^ x3) - x1,5,392927.129207434,0.0
Imstepf_F2_LHS,0_Percent_Noise,111.42783359435747 * x2,6,226319.79863993215,0.0
Imstepf_F2_LHS,0_Percent_Noise,(638.7137327465762 + x4) + sin(x4),9,66894.98109995051,0.0
Imstepf_F2_LHS,0_Percent_Noise,x1 - (x3 - (x3 - -900.7114146650036)),10,14.782366917159848,0.0
Imstepf_F2_LHS,0_Percent_Noise,cos(x3) - (x3 - (x3 - -900.7114146650036)),11,0.400892813947053,0.0
Imstepf_F2_LHS,0_Percent_Noise,sin(cos(x4)) - (x3 - (x3 - -900.7114146650036)),12,0.3812493146101992,0.0
Imstepf_F2_LHS,0_Percent_Noise,-476.2483170785697 - (x3 - (x3 - -1376.9571277318112)),13,1.1013405329260369e-08,0.0
Imstepf_F2_LHS,0_Percent_Noise,(sin(cos(x4)) * 0.00026285930944666057) - (x3 - (x3 - -900.708943221304)),17,2.059548173917794e-09,0.0
Imstepf_F2_RandSample,0_Percent_Noise,x3,1,760478.6844420477,0.0
Imstepf_F2_RandSample,0_Percent_Noise,x3 ^ x3,3,367906.49186636735,0.0
Imstepf_F2_RandSample,0_Percent_Noise,(x3 ^ x3) + x2,5,364928.2781765377,0.0
Imstepf_F2_RandSample,0_Percent_Noise,x3 + 872.0541722393898,6,0.2051224531867338,0.0
Imstepf_F2_RandSample,0_Percent_Noise,875.3998822189951 - sin(x3),7,0.0813339325267709,0.0
Imstepf_F2_RandSample,0_Percent_Noise,876.1232034890572 - (x0 - x0),8,8.21382374276729e-05,0.0
Imstepf_F2_RandSample,0_Percent_Noise,(-0.17928862338974194 / x0) + 876.1716862722777,11,2.3509093833171743e-05,0.0
Imstepf_F2_RandSample,0_Percent_Noise,(-0.019690232380309067 * sin(x0)) + 876.1135740789666,12,1.5001885153840343e-05,0.0
Imstepf_F2_RandSample,0_Percent_Noise,sin(-0.019690232380309067 * sin(x0)) + 876.1135740789666,13,1.500134174526825e-05,0.0
Imstepf_F2_RandSample,0_Percent_Noise,(0.03158839778984229 * (x0 - cos(x0))) + 875.9825525337159,14,1.4003108720500228e-05,0.0
Imstepf_F2_RandSample,0_Percent_Noise,((x0 - cos(x0)) * sin(0.03158839778984229)) + 875.9825525337159,15,1.4001461283079412e-05,0.0
Imstepf_F2_RandSample,0_Percent_Noise,(sin(sin(0.03158839778984229)) * (x0 - cos(x0))) + 875.9825525337159,16,1.4000912502375029e-05,0.0
Imstepf_F2_RandSample,0_Percent_Noise,(((x2 * x1) * cos(1.5721224235276932)) * sin(x0)) + 876.1127476371519,17,7.356232234965108e-06,0.0
Imstepf_F2_RandSample,0_Percent_Noise,(((-0.0018461312743131124 * x1) * cos(0.7694247951435436)) * (sin(x0) * x2)) + 876.1127476371533,22,7.356232234914068e-06,0.0
Imstepf_F2_Uniform,0_Percent_Noise,x4,1,1365915.3728628878,0.0
Imstepf_F2_Uniform,0_Percent_Noise,x0 ^ x0,3,893954.5983799952,0.0
Imstepf_F2_Uniform,0_Percent_Noise,(x0 ^ x0) + x2,5,889558.9982324179,0.0
Imstepf_F2_Uniform,0_Percent_Noise,x4 + 1168.7237224918651,6,0.2333479010051797,0.0
Imstepf_F2_Uniform,0_Percent_Noise,1172.098237466676 - sin(x4),7,0.0624255881072052,0.0
Imstepf_F2_Uniform,0_Percent_Noise,1173.8162661982803 - (x4 / x0),8,0.0008678302706436,0.0
Imstepf_F2_Uniform,0_Percent_Noise,1172.5501481842696 + ((x4 - x1) * x3),10,5.557764604481803e-05,0.0
Imstepf_F2_Uniform,0_Percent_Noise,(cos(x4) * (x4 - x0)) + 1172.8381830360813,11,5.0903571576060845e-05,0.0
Imstepf_F2_Uniform,0_Percent_Noise,(cos(x4) * 0.07803719881462712) + 1172.8367298968685,12,4.968517255623105e-05,0.0
Imstepf_F2_Uniform,0_Percent_Noise,1172.6476204008436 + (cos(cos(x0)) * 0.19126181922780888),13,3.563697346040673e-05,0.0
Imstepf_F2_Uniform,0_Percent_Noise,cos(cos(x1) * (x3 * 0.126050816264653)) + 1171.845883853617,15,5.419750178245152e-06,0.0
Imstepf_F2_Uniform,0_Percent_Noise,(1172.943667021407 - (-0.05221756673715561 * cos(x4))) - (cos(sin(x0)) * (x3 * (x3 - x1))),22,3.1255920332402897e-06,0.0
Imstepf_F2_Uniform,0_Percent_Noise,(0.26616244000532696 * cos(cos(x0))) + ((sin(x2) * (0.23678358870927857 / x4)) + 1172.6274478126838),23,6.973957657499012e-07,0.0
Imstepf_F3_LHS,0_Percent_Noise,x1,1,2359263.140252272,0.0
Imstepf_F3_LHS,0_Percent_Noise,x4 ^ x1,3,1406488.7183726376,0.0
Imstepf_F3_LHS,0_Percent_Noise,x4 * (x1 ^ x3),5,1223330.8314325456,0.0
Imstepf_F3_LHS,0_Percent_Noise,x4 - -1536.0543772077333,6,0.3715941864720086,0.0
Imstepf_F3_LHS,0_Percent_Noise,cos(x3) - -1540.6195702317407,7,0.1857341409604942,0.0
Imstepf_F3_LHS,0_Percent_Noise,(x3 / x3) - -1539.0505272076966,8,7.911447642520696e-05,0.0
Imstepf_F3_LHS,0_Percent_Noise,(0.01623453570080852 / x3) - -1540.046317305051,11,7.86827804438603e-05,0.0
Imstepf_F3_LHS,0_Percent_Noise,1540.0730666415325 - (x2 / (43.92361270047381 * x4)),13,7.001371717920092e-05,0.0
Imstepf_F3_LHS,0_Percent_Noise,((x3 / x3) + (-0.2016531924690498 / x4)) - -1539.1022263324744,15,1.416489813747762e-05,0.0
Imstepf_F3_LHS,0_Percent_Noise,((x3 / x3) + sin(-0.20165320646408663 / x4)) - -1539.1022263360624,16,1.4157055435362655e-05,0.0
Imstepf_F3_LHS,0_Percent_Noise,((-0.06104962015398297 / x3) + (-0.2233193180857314 / x4)) - -1540.1236122641862,18,8.809970224601853e-06,0.0
Imstepf_F3_LHS,0_Percent_Noise,((0.008612693504231418 * x4) + 1540.0315757713536) - (0.22980527055946218 / (x2 * x4)),20,4.882031153240671e-06,0.0
Imstepf_F3_RandSample,0_Percent_Noise,x3,1,2648916.261390757,0.0
Imstepf_F3_RandSample,0_Percent_Noise,x3 ^ x3,3,1391997.9762916735,0.0
Imstepf_F3_RandSample,0_Percent_Noise,(x3 ^ x0) * x2,5,622535.0413812597,0.0
Imstepf_F3_RandSample,0_Percent_Noise,x0 + 1627.6378881001742,6,0.1536078147717079,20.0
Imstepf_F3_RandSample,0_Percent_Noise,sin(x0) + 1632.3401485891525,7,0.0594630506762098,0.0
Imstepf_F3_RandSample,0_Percent_Noise,(x4 / x4) + 1630.6420006002272,8,0.0020177348062499,0.0
Imstepf_F3_RandSample,0_Percent_Noise,1631.4839991893261 - (sin(x4) / x4),9,0.0019243228479853,0.0
Imstepf_F3_RandSample,0_Percent_Noise,1631.8304004901909 - (cos(sin(x4)) / x0),10,0.0003851118342427,0.0
Imstepf_F3_RandSample,0_Percent_Noise,1631.3349856737602 + (x4 * 0.07551388796864447),11,0.000172457311041,0.0
Imstepf_F3_RandSample,0_Percent_Noise,1631.6940931944298 + (cos(x4) * 0.10141087611671917),12,6.728541098207107e-05,0.0
Imstepf_F3_RandSample,0_Percent_Noise,(cos(x4) / (5.909041719269429 + x0)) + 1631.694156327003,14,5.3773124168484605e-05,0.0
Imstepf_F3_RandSample,0_Percent_Noise,(cos(x4) / (x4 + (x0 / 0.6317891203054325))) + 1631.6943226610963,16,4.7442027748222906e-05,0.0
Imstepf_F3_RandSample,0_Percent_Noise,1631.6517372684784 + (-0.05774347595976082 * cos(x4 / 0.5363958663835035)),17,1.0926754527012944e-05,0.0
Imstepf_F3_RandSample,0_Percent_Noise,(sin(-0.05946974488178767) * cos(x4 / 0.539616919392255)) + 1631.653542787356,18,9.13092811232188e-06,0.0
Imstepf_F3_RandSample,0_Percent_Noise,((0.19424844749091058 * cos(x4)) + 1631.7035662384658) + ((0.07486249630515864 * cos(x4)) / cos(x4 + -0.6665422772704787)),28,2.497760804583014e-06,0.0
Imstepf_F3_Uniform,0_Percent_Noise,x4,1,2521127.649646826,0.0
Imstepf_F3_Uniform,0_Percent_Noise,x3 ^ x0,3,1588281.3860495116,0.0
Imstepf_F3_Uniform,0_Percent_Noise,x4 + (x3 ^ x0),5,1580738.386559463,0.0
Imstepf_F3_Uniform,0_Percent_Noise,x3 + 1586.9734974113242,6,0.981211406938179,0.0
Imstepf_F3_Uniform,0_Percent_Noise,sin(x1) + 1592.5421188138653,7,0.0943166432112004,0.0
Imstepf_F3_Uniform,0_Percent_Noise,1591.8576055645985 + (x2 - x1),8,9.939942775985744e-05,0.0
Imstepf_F3_Uniform,0_Percent_Noise,sin(x2 - x1) + 1591.8576069381254,9,9.939942775985742e-05,0.0
Imstepf_F3_Uniform,0_Percent_Noise,(x1 / x3) + (x1 * (1590.8879372563958 / x1)),12,7.702373242745592e-05,0.0
Imstepf_F3_Uniform,0_Percent_Noise,(-0.29156573748370906 / x1) + (x1 * (1591.9516862525338 / x1)),15,1.1021788230374665e-05,0.0
Imstepf_F3_Uniform,0_Percent_Noise,((1591.839253394585 / x1) * x1) + (sin(-109.9581517703668) * (x1 * x0)),18,2.926357213625984e-06,0.0
Imstepf_F3_Uniform,0_Percent_Noise,(cos(-30.370962398442607) / (x2 * x4)) + (((1591.7082061492424 / x1) - -0.03428513761408914) * x1),23,6.901125031598085e-07,0.0
Imstepf_F4_LHS,0_Percent_Noise,x1,1,18.138738031184925,0.0
Imstepf_F4_LHS,0_Percent_Noise,sin(x4),2,0.8836837907959174,0.0
Imstepf_F4_LHS,0_Percent_Noise,sin(sin(x0)),3,0.8127294040038996,0.0
Imstepf_F4_LHS,0_Percent_Noise,cos(x2 * x1),4,0.3799962716824462,33.33333333333333
Imstepf_F4_LHS,0_Percent_Noise,sin(x0) + cos(x2 * x1),7,0.2483513535752186,66.66666666666666
Imstepf_F4_LHS,0_Percent_Noise,sin(sin(x0)) + cos(x2 * x1),8,0.2039866854831812,33.33333333333333
Imstepf_F4_LHS,0_Percent_Noise,cos(x4 + x0) + cos(x2 * x1),9,0.1258068309908284,33.33333333333333
Imstepf_F4_LHS,0_Percent_Noise,sin(cos(x4) + x0) + cos(x2 * x1),10,0.0284339660009729,33.33333333333333
Imstepf_F4_LHS,0_Percent_Noise,sin(x0) + (cos(x2 * x1) + (sin(x3) * cos(x4))),13,1.2386789313132296e-09,100.0
Imstepf_F4_RandSample,0_Percent_Noise,x2,1,15.695425905909463,0.0
Imstepf_F4_RandSample,0_Percent_Noise,sin(x0),2,0.8042614895620408,33.33333333333333
Imstepf_F4_RandSample,0_Percent_Noise,x2 - x0,3,0.4936705064285052,0.0
Imstepf_F4_RandSample,0_Percent_Noise,cos(x1 * x2),4,0.4242511207572384,33.33333333333333
Imstepf_F4_RandSample,0_Percent_Noise,sin(x0) - sin(x1),5,0.4077250288388658,33.33333333333333
Imstepf_F4_RandSample,0_Percent_Noise,cos(x1) * (x0 - x1),6,0.3769401282139373,0.0
Imstepf_F4_RandSample,0_Percent_Noise,sin(x0) + cos(x2 * x1),7,0.3329163801209739,66.66666666666666
Imstepf_F4_RandSample,0_Percent_Noise,cos(x1 * x2) - (x0 - x3),8,0.1827169949155987,33.33333333333333
Imstepf_F4_RandSample,0_Percent_Noise,cos(x1 * x2) - sin(x0 - x3),9,0.1173736890812706,33.33333333333333
Imstepf_F4_RandSample,0_Percent_Noise,sin(x0 + sin(x3)) + cos(x2 * x1),10,0.0799581035342167,33.33333333333333
Imstepf_F4_RandSample,0_Percent_Noise,sin(sin(x4) + (x3 - x0)) + cos(x2 * x1),12,0.0682475118663052,33.33333333333333
Imstepf_F4_RandSample,0_Percent_Noise,(sin(x0) + cos(x2 * x1)) - (cos(x4) * cos(cos(x3))),14,0.0217480027891506,66.66666666666666
Imstepf_F4_RandSample,0_Percent_Noise,(sin(x0) + cos(x2 * x1)) - (sin(cos(x4)) * cos(cos(x3))),15,0.0177818415061995,66.66666666666666
Imstepf_F4_RandSample,0_Percent_Noise,(cos(x2 * x1) + sin(x0)) - (cos(x3 + 1.5708155138952733) * cos(x4)),18,9.414657111461528e-10,66.66666666666666
Imstepf_F4_RandSample,0_Percent_Noise,(cos(x1 * x2) + sin(x0)) - (cos(1.5708288401081218 + x3) * (cos(x4) * 0.9999769971749549)),23,8.140240811452428e-10,66.66666666666666
Imstepf_F4_RandSample,0_Percent_Noise,((sin(x0) - 3.8031087515675876e-6) + cos(x1 * x2)) - (cos(1.5708321540196981 + x3) * (cos(x4) / 1.0000196607059075)),28,8.091013529736397e-10,66.66666666666666
Imstepf_F4_Uniform,0_Percent_Noise,x0,1,19.500192330637923,0.0
Imstepf_F4_Uniform,0_Percent_Noise,sin(x0),2,0.6318044599678254,33.33333333333333
Imstepf_F4_Uniform,0_Percent_Noise,sin(sin(x0)),3,0.6017650482116547,0.0
Imstepf_F4_Uniform,0_Percent_Noise,cos(x0 * x0),4,0.3096781546622943,0.0
Imstepf_F4_Uniform,0_Percent_Noise,sin(cos(x0 * x0)),5,0.3074896780363462,0.0
Imstepf_F4_Uniform,0_Percent_Noise,cos(x0 * x3) + sin(x0),7,0.1212196651451922,33.33333333333333
Imstepf_F4_Uniform,0_Percent_Noise,cos(x1 * x1) + sin(sin(x0)),8,0.105233948910028,0.0
Imstepf_F4_Uniform,0_Percent_Noise,cos(x1 * x1) + sin(sin(sin(x0))),9,0.1009844696502528,0.0
Imstepf_F4_Uniform,0_Percent_Noise,sin(x4 + sin(x2)) + cos(x1 * x1),10,0.0628086024736985,0.0
Imstepf_F4_Uniform,0_Percent_Noise,cos(x1 * x1) + sin(1.363619399645101 ^ x4),12,0.0164406467045504,0.0
Imstepf_F4_Uniform,0_Percent_Noise,(cos(x1 * x2) + (sin(x3) * cos(x4))) + sin(x0),13,1.7552310117335294e-07,100.0
Imstepf_F1_LHS,10_Percent_Noise,x3 + x1,3,145.2907643538415,40.0
Imstepf_F1_LHS,10_Percent_Noise,(x4 * x1) + x3,5,4.13949001728465,20.0
Imstepf_F1_LHS,10_Percent_Noise,((x3 + x0) + (x1 + x4)) + x2,9,5.85741585261768e-10,100.0
Imstepf_F1_RandSample,10_Percent_Noise,x0,1,244.28483540117765,20.0
Imstepf_F1_RandSample,10_Percent_Noise,x1 * x0,3,13.27897096122141,0.0
Imstepf_F1_RandSample,10_Percent_Noise,19.821362377731806,4,0.7165988036012868,0.0
Imstepf_F1_RandSample,10_Percent_Noise,x1 + 15.753224877848755,6,0.194779399783234,20.0
Imstepf_F1_RandSample,10_Percent_Noise,x3 + ((x4 + (x0 + x2)) + x1),9,0.1167309843417604,100.0
Imstepf_F1_Uniform,10_Percent_Noise,x4 + x3,3,147.19778048135365,40.0
Imstepf_F1_Uniform,10_Percent_Noise,x4 + (x0 * x1),5,4.59347508242182,20.0
Imstepf_F1_Uniform,10_Percent_Noise,(sin(x0) + x4) + (x3 * x0),8,3.6404125024429166,20.0
Imstepf_F1_Uniform,10_Percent_Noise,(x4 + x0) - (x2 / -0.31366982928174914),10,0.5842167887203743,40.0
Imstepf_F1_Uniform,10_Percent_Noise,x4 - ((x3 / -0.3357459087605783) * 1.343236536120303),13,0.0154401952049247,20.0
Imstepf_F1_Uniform,10_Percent_Noise,(x4 + x1) - (cos(cos(x1)) + (x2 / -0.31366982928174914)),14,0.00529935577916,40.0
Imstepf_F1_Uniform,10_Percent_Noise,(x2 + -0.4076777632447748) - (cos(cos(x0)) + (x0 / -0.23089762762697438)),17,0.0019116298604867,20.0
Imstepf_F1_Uniform,10_Percent_Noise,((x4 + 0.13404982534431026) - (x2 / -0.25002599708109685)) - 0.17260474368309403,18,1.5336068909362147e-06,20.0
Imstepf_F1_Uniform,10_Percent_Noise,x2 - (((x0 / -0.32556796430851226) * 1.302368454214703) + cos(1.7318592995166493)),19,1.4971347110454097e-06,20.0
Imstepf_F1_Uniform,10_Percent_Noise,(x0 - (-1.1298381084440574 * 0.6342629288101181)) - (cos(cos(-0.778080238704221)) + (1.3171585796415137 * (x3 / -0.3292922693525485))),30,1.46627987867109e-06,20.0
Imstepf_F2_LHS,10_Percent_Noise,cos(x0),2,875978.2622832741,0.0
Imstepf_F2_LHS,10_Percent_Noise,x1 ^ x3,3,461355.1816379319,0.0
Imstepf_F2_LHS,10_Percent_Noise,(x3 ^ x2) - cos(x2),6,459222.7051602862,0.0
Imstepf_F2_LHS,10_Percent_Noise,(x1 ^ x4) + (x3 ^ x1),7,365449.3735899413,0.0
Imstepf_F2_LHS,10_Percent_Noise,(x4 * x3) * (x2 * (x0 + x1)),9,208112.1656942327,0.0
Imstepf_F2_LHS,10_Percent_Noise,((x3 + x3) * x4) * (x2 * (x0 + x1)),11,72768.29148641197,0.0
Imstepf_F2_LHS,10_Percent_Noise,x4 + (cos(cos(x3)) / (0.2500909918501632 * 0.004296393257002176)),15,64366.508712015646,0.0
Imstepf_F2_LHS,10_Percent_Noise,(2.551611501820042 / sin(cos(935.8238714195134))) * 294.32436319161224,16,5.029327145912562e-09,0.0
Imstepf_F2_RandSample,10_Percent_Noise,x2,1,1020146.81274236,0.0
Imstepf_F2_RandSample,10_Percent_Noise,x4 ^ x2,3,442788.2269408059,0.0
Imstepf_F2_RandSample,10_Percent_Noise,(x4 ^ x2) + x3,5,437858.060171545,0.0
Imstepf_F2_RandSample,10_Percent_Noise,1018.3440607695892 - x0,6,0.2738131714804006,0.0
Imstepf_F2_RandSample,10_Percent_Noise,1013.4519910921957 - sin(x2),7,0.1054394811504468,0.0
Imstepf_F2_RandSample,10_Percent_Noise,1014.1875232695709 + (x4 - x4),8,3.067460013599508e-05,0.0
Imstepf_F2_RandSample,10_Percent_Noise,507.10299384887446 - -507.0845294206965,9,3.067460013599508e-05,0.0
Imstepf_F2_RandSample,10_Percent_Noise,(cos(x1) / (x4 ^ x0)) + 1014.19120046118,11,8.886320335904972e-06,0.0
Imstepf_F2_RandSample,10_Percent_Noise,(1497.1754995547226 + (cos(x1) / (x4 ^ x0))) + -482.9842990935425,16,8.886320335776113e-06,0.0
Imstepf_F2_RandSample,10_Percent_Noise,(((1.003169381887403 ^ x4) + 663.092916316988) + (cos(1.9634847279181782) / (x1 ^ x0))) / sin(sin(sin(0.9191770875293778))),29,4.8809249679954464e-06,0.0
Imstepf_F2_Uniform,10_Percent_Noise,x4,1,1365915.373821666,0.0
Imstepf_F2_Uniform,10_Percent_Noise,x0 ^ x0,3,893954.6009291514,0.0
Imstepf_F2_Uniform,10_Percent_Noise,(x0 ^ x0) + x2,5,889559.0007788423,0.0
Imstepf_F2_Uniform,10_Percent_Noise,x0 + 1168.8045229023342,6,0.233348324953119,0.0
Imstepf_F2_Uniform,10_Percent_Noise,1172.102629094928 - sin(x4),7,0.0624442462858627,0.0
Imstepf_F2_Uniform,10_Percent_Noise,1171.8158450480319 + (x0 / x4),8,0.0008735166395706,0.0
Imstepf_F2_Uniform,10_Percent_Noise,1172.5501485942566 + (x3 * (x3 - x0)),10,5.546233830580623e-05,0.0
Imstepf_F2_Uniform,10_Percent_Noise,((x4 - x0) * cos(x4)) + 1172.838183446082,11,5.085240107180229e-05,0.0
Imstepf_F2_Uniform,10_Percent_Noise,(0.0780333445893504 * cos(x4)) + 1172.8367282797165,12,4.96306171950273e-05,0.0
Imstepf_F2_Uniform,10_Percent_Noise,(0.10809371580198827 / cos(sin(x1))) + 1172.6437475390771,13,1.569201400174034e-05,0.0
Imstepf_F2_Uniform,10_Percent_Noise,(sin(0.10809371580198827) / cos(sin(x0))) + 1172.6437475390771,14,1.5028232533446766e-05,0.0
Imstepf_F2_Uniform,10_Percent_Noise,1172.8018460986616 + (0.04297647253801416 * cos(x4 / 0.3793251121894125)),17,1.2955183317858905e-05,0.0
Imstepf_F2_Uniform,10_Percent_Noise,1172.8026074666384 + (sin(sin(-0.04513434037377588)) * cos(x4 / 0.5324394069635909)),19,6.9570381676319e-06,0.0
Imstepf_F2_Uniform,10_Percent_Noise,(cos(cos(x1)) * 0.23854204862496653) + ((sin(x4) / (x4 * x4)) + 1172.6496125740764),20,1.2251145817876095e-06,0.0
Imstepf_F2_Uniform,10_Percent_Noise,(cos(cos(x0)) * sin(sin(0.2584271881151971))) + (1172.6370521940482 + (sin(x4) / (x4 * 4.456239433421058))),25,8.686905278288249e-07,0.0
Imstepf_F2_Uniform,10_Percent_Noise,(((-0.14925794676812393 / x1) + 1172.7040589899755) + (sin(x3) / (x3 * x2))) + (cos(cos(x2)) * 0.2155201949585343),27,5.391746331909789e-07,0.0
Imstepf_F3_LHS,10_Percent_Noise,x0,1,1938278.4804413267,20.0
Imstepf_F3_LHS,10_Percent_Noise,x2 ^ x2,3,1105988.668972145,0.0
Imstepf_F3_LHS,10_Percent_Noise,x0 + (x3 ^ x3),5,1101983.6288658285,20.0
Imstepf_F3_LHS,10_Percent_Noise,(x0 - cos(x2)) ^ x3,6,830992.6830426676,0.0
Imstepf_F3_LHS,10_Percent_Noise,1391.1749074788172 - cos(x3),7,21.20141442827118,0.0
Imstepf_F3_LHS,10_Percent_Noise,1.849430778784291e6 * 0.0007549813178441614,9,5.047948209176391e-05,0.0
Imstepf_F3_LHS,10_Percent_Noise,(cos(x4) / (x3 ^ x4)) + 1396.2908038971427,11,1.9000114455133696e-05,0.0
Imstepf_F3_LHS,10_Percent_Noise,((x4 + 50440.590119538225) / 2.9505563846262866e6) * (81670.94097849927 + sin(x4)),19,8.66180792140125e-06,0.0
Imstepf_F3_LHS,10_Percent_Noise,(-0.9789337033326957 * cos(x4)) + (cos(x4) - (-740.8035512181063 - 655.492950233608)),20,7.30040600888917e-06,0.0
Imstepf_F3_LHS,10_Percent_Noise,(((39823.4258027292 + 26888.71783096072) + cos(x4)) / 3.5354197905761604e6) * 73997.04915668847,22,2.3716651858202264e-06,0.0
Imstepf_F3_LHS,10_Percent_Noise,sin(0.018842025332663614 * cos(x4)) + (cos(x4 - x4) - (-740.3039647097945 - 654.9933637253014)),23,1.7725198132039365e-06,0.0
Imstepf_F3_RandSample,10_Percent_Noise,x3,1,2773688.579455273,0.0
Imstepf_F3_RandSample,10_Percent_Noise,x0 ^ x0,3,1430431.3847157422,0.0
Imstepf_F3_RandSample,10_Percent_Noise,x1 * (x2 ^ x0),5,934498.7874107888,0.0
Imstepf_F3_RandSample,10_Percent_Noise,1664.6063226740787 + x4,6,0.837558401503568,0.0
Imstepf_F3_RandSample,10_Percent_Noise,cos(x4) + 1669.4703301118875,7,0.3566001623160674,0.0
Imstepf_F3_RandSample,10_Percent_Noise,1669.470219139564 + sin(cos(x4)),8,0.2791553130703775,0.0
Imstepf_F3_RandSample,10_Percent_Noise,-86.3400178062647 * -19.335890794474317,9,6.461928971316818e-05,0.0
Imstepf_F3_RandSample,10_Percent_Noise,1669.4006972691207 + (x4 / 67.98269572712144),11,8.884008526674951e-06,0.0
Imstepf_F3_RandSample,10_Percent_Noise,(cos(x4) / 49.95403249117608) + 1669.4704368402906,12,2.0033826865703207e-06,0.0
Imstepf_F3_RandSample,10_Percent_Noise,1669.470731775158 + (sin(cos(x4)) / 43.38028387811117),13,1.3386591961178369e-06,0.0
Imstepf_F3_Uniform,10_Percent_Noise,x4,1,2521127.298432744,0.0
Imstepf_F3_Uniform,10_Percent_Noise,x4 ^ x0,3,1587832.3724957171,0.0
Imstepf_F3_Uniform,10_Percent_Noise,(x4 ^ x0) + x4,5,1580397.9219705884,0.0
Imstepf_F3_Uniform,10_Percent_Noise,1587.8057416298186 + x4,6,0.2252801375044565,0.0
Imstepf_F3_Uniform,10_Percent_Noise,1592.5751516548962 + sin(x4),7,0.0992679415261431,0.0
Imstepf_F3_Uniform,10_Percent_Noise,(x0 / x4) + 1590.8929016678078,8,0.0014867568753167,0.0
Imstepf_F3_Uniform,10_Percent_Noise,1591.548689559815 + (x4 * (x4 - x0)),10,9.278854548969616e-05,0.0
Imstepf_F3_Uniform,10_Percent_Noise,(0.07692014042067988 * x2) + 1591.5675957762003,11,8.881017577262767e-05,0.0
